CHV_FTPROD_MATRICULA;FLG_EMPREGADO;FLG_EVADIU;FLG_BOLSA_ESTUDO_NAO;FLG_BOLSA_ESTUDO_SIM;FLG_0_DISC;FLG_1_DISC;FLG_2_DISC;FLG_3_DISC;FLG_IDAP_ABAIXO;FLG_IDAP_ACIMA;PERC_FALTA_00;PERC_FALTA_10;PERC_FALTA_15;PERC_FALTA_20;PERC_FALTA_25;QTD_BOLETOS_0;QTD_BOLETOS_1;QTD_BOLETOS_2;QTD_BOLETOS_3
102191349353MATRICULADO;0;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
102231349353MATRICULADO;0;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
1023012811740CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1023661449327DESISTENTE;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
102411579321MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1024641639325MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
102631579297MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
102651579298MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
102737749319MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
102921349305EVADIDO;0;1;0;1;0,00;0;0;1;0;1;1;0;0;0;0;1;0;0;0
102941579371MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1030013411762CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1030013411762CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1030013411762CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10305715711983EVADIDO;0;1;0;1;0,00;1;0;0;1;0;1;0;0;0;0;1;0;0;0
103091579297MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1031621639323EVADIDO;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1031901579341MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1031911339325MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1031938311865CONCLUINTE;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
10320829357DESISTENTE;0;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1033712811740TRANCADO;0;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
103381239343MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
103381289331MATRICULADO;0;0;0;1;0,00;0;0;1;0;1;1;0;0;0;0;1;0;0;0
1035661459297MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1036471079342DESISTENTE;0;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1036801449320MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;0;1;0;0
1037021189341MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
103781579297EVADIDO;0;1;0;1;0,00;0;0;1;1;0;1;0;0;0;0;1;0;0;0
103865959320MATRICULADO;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;0;0;0;1
1038919211983CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1039349511823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1039349511823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1039349511823CONCLUINTE;0;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1039541579340DESISTENTE;1;1;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1041731369364MATRICULADO;0;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
104261579298MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1042971249365MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1044671669372MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1046281399298MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
10468916511823MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10468916511823MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10468916511823MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1048227112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1048227112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1048227112043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1048461669340MATRICULADO;1;0;1;0;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1048751449372MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;0;0;0;1
10492116611823TRANCADO;1;1;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10492116611823TRANCADO;1;1;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10492116611823TRANCADO;1;1;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
10497713911728MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;0;0;1;0
1049971069340MATRICULADO;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;0;1;0;0
1050231629314DESISTENTE;0;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
10509616612043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
105283939323MATRICULADO;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
10544312611823ALUNO COM PENDENCIA;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1054431269324MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;0;1;0;0
10572112911828CONCLUINTE;0;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
10572112911828CONCLUINTE;0;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
10572112911828CONCLUINTE;0;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
1057391639343MATRICULADO;0;0;0;1;0,00;0;1;0;0;1;1;0;0;0;0;1;0;0;0
1058039511865CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1058039511865CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1058039511865CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1058237512041TRANCADO;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1061559373MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1061731399371MATRICULADO;0;0;0;1;0,00;1;0;0;1;0;1;0;0;0;0;1;0;0;0
1061778211983MATRICULADO;1;0;1;0;1,00;0;0;0;0;1;1;0;0;0;0;0;1;0;0
1062101099363MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
106371289331DESISTENTE;0;1;0;1;0,00;0;1;0;0;1;1;0;0;0;0;1;0;0;0
106391289331MATRICULADO;0;0;0;1;0,00;0;1;0;0;1;1;0;0;0;0;1;0;0;0
106391289364MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
106411349353MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
106421579297MATRICULADO;0;0;0;1;0,00;0;0;1;1;0;1;0;0;0;0;1;0;0;0
106584929371MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;0;1;0;0
10669914512043CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
10669914512043CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
10669914512043CONCLUINTE;1;0;0;1;1,00;0;0;0;1;0;0;1;0;0;0;1;0;0;0
1069621399320DESISTENTE;1;1;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
107007929323MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1070501399298MATRICULADO;0;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
107106889325DESISTENTE;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1071641639335EVADIDO;0;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1071981579340DESISTENTE;0;1;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1072021669325MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
107261329324MATRICULADO;0;0;1;0;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
107271619297EVADIDO;0;1;0;1;0,00;0;0;1;1;0;1;0;0;0;0;1;0;0;0
107314869318DESISTENTE;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
107341559339MATRICULADO;0;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
1076941399317MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
1077201339298MATRICULADO;1;0;0;1;0,00;1;0;0;1;0;1;0;0;0;0;1;0;0;0
1077810811864CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
107840899363DESISTENTE;1;1;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
107869939341MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1080131399343MATRICULADO;1;0;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
108100869317MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
108181349353MATRICULADO;0;0;0;1;0,00;0;1;0;0;1;1;0;0;0;0;1;0;0;0
1082291399319MATRICULADO;0;0;0;1;0,00;1;0;0;1;0;1;0;0;0;0;1;0;0;0
1082431639343MATRICULADO;0;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
108252959321MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
10843513911728MATRICULADO;1;0;1;0;0,00;1;0;0;1;0;1;0;0;0;0;0;1;0;0
1084889512043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1085131359339MATRICULADO;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
1085328812043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1085328812043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1085328812043CONCLUINTE;1;0;0;1;1,00;0;0;0;0;1;0;1;0;0;0;1;0;0;0
1086031299343EVADIDO;1;1;0;1;1,00;0;0;0;1;0;1;0;0;0;0;1;0;0;0
108617889323MATRICULADO;1;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
1086431639323MATRICULADO;0;0;0;1;1,00;0;0;0;0;1;1;0;0;0;0;1;0;0;0
108645959297MATRICULADO;1;0;0;1;0,00;1;0;0;0;1;1;0;0;0;0;1;0;0;0
